drug_key,japanese_name,english_name,generic_name,synonyms,drug_class,domain,priority,gap_type,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,source_ids,last_source_check_date,why,product_examples,efficacy_examples
gamma_aminobutyric_acid,ガンマ-アミノ酪酸,gamma-aminobutyric acid,gamma-aminobutyric acid,GABA|ガンマロン|Gammalon|γ-アミノ酪酸,脳代謝賦活薬,post_traumatic_brain_injury_sequelae,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/gamma_aminobutyric_acid.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;PMDA_GABA_CURRENT_LABEL_REQUIRED,2026-06-03,サプリのGABAと医療用薬の取り違えが起きやすい。現行製品・医療用適応確認が必要。,ガンマロン錠,頭部外傷後遺症に伴う頭痛、頭重、易疲労性、のぼせ感、耳鳴、記憶障害、睡眠障害、意欲低下等
vinpocetine,ビンポセチン,vinpocetine,vinpocetine,カラン|vinpocetine,旧・脳循環改善薬,historical_reassessment_negative_notes,A,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/vinpocetine.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,MHLW_REEVALUATION_31_INGREDIENTS;KANAGAWA_VINPOCETINE_REPORT,2026-06-03,過去資料に出るが、現役推奨薬として出すと危険。再評価/承認状況を確認させるnegative noteが必要。,カラン等,過去の慢性脳循環障害関連効能
nilvadipine_old_cerebral_indication,ニルバジピン（旧脳梗塞後遺症効能）,nilvadipine old cerebral indication,nilvadipine,ニバジール|Nilvadipine|旧効能,Ca拮抗薬・旧脳循環効能note,historical_reassessment_negative_notes,A,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/nilvadipine_old_cerebral_indication.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,MHLW_REEVALUATION_31_INGREDIENTS,2026-06-03,高血圧薬としての現行適応と旧脳循環効能を混同しないため。,ニバジール等,本態性高血圧症等。脳梗塞後遺症関連効能は旧効能として扱う。
cinepazide_maleate,シネパジドマレイン酸塩,cinepazide maleate,cinepazide maleate,ブレンディール|cinepazide|マレイン酸シネパジド,旧・脳循環改善薬,historical_reassessment_negative_notes,A,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/cinepazide_maleate.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,MHLW_REEVALUATION_31_INGREDIENTS,2026-06-03,再評価文脈に出る。現役処方候補として出さないためのnoteが必要。,ブレンディール等,旧・慢性脳循環障害関連
idebenone,イデベノン,idebenone,idebenone,アバン|idebenone,旧・脳代謝/精神症状改善薬,historical_reassessment_negative_notes,A,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/idebenone.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,MHLW_REEVALUATION_4_INGREDIENTS;MHLW_IDEBENONE_HEALTH_FOOD_WARNING,2026-06-03,厚労省資料で再評価により承認取消と説明されている。現役医療用薬として出してはいけない。,アバン等,旧・脳代謝/精神症状改善関連
indeloxazine,インデロキサジン塩酸塩,indeloxazine hydrochloride,indeloxazine hydrochloride,エレン|indeloxazine,旧・脳代謝改善薬,historical_reassessment_negative_notes,A,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/indeloxazine.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,MHLW_REEVALUATION_4_INGREDIENTS,2026-06-03,再評価で有用性確認不能の文脈。historical noteとして扱う。,エレン等,旧・脳循環代謝改善関連
bifemelane,ビフェメラン塩酸塩,bifemelane hydrochloride,bifemelane hydrochloride,セレポート|bifemelane,旧・脳代謝改善薬,historical_reassessment_negative_notes,A,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/bifemelane.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,MHLW_REEVALUATION_4_INGREDIENTS,2026-06-03,再評価で有用性確認不能の文脈。現役推奨薬扱いは不可。,セレポート等,旧・脳循環代謝改善関連
propentofylline,プロペントフィリン,propentofylline,propentofylline,ヘキストール|propentofylline,旧・脳循環代謝改善薬,historical_reassessment_negative_notes,A,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/propentofylline.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,MHLW_REEVALUATION_4_INGREDIENTS,2026-06-03,再評価で有用性確認不能の文脈。historical noteとして入れる。,ヘキストール等,旧・脳循環代謝改善関連
hopantenate_calcium,ホパンテン酸カルシウム,hopantenate calcium,hopantenate calcium,ホパテ|hopantenate|pantogam,旧・脳代謝改善薬,historical_reassessment_negative_notes,B,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/hopantenate_calcium.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,PMDA_CURRENT_STATUS_REQUIRED;MHLW_REEVALUATION_CONTEXT,2026-06-03,古い処方歴・資料で出る可能性がある。現役治療候補として出さないためのnote。,ホパテ等,旧・脳代謝/認知精神症状関連
pyritinol,ピリチノール塩酸塩,pyritinol hydrochloride,pyritinol hydrochloride,エンボール|pyritinol,旧・脳代謝改善薬,historical_reassessment_negative_notes,B,negative_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/historical_reassessment_negative_notes/pyritinol.md,False,unresolved_manual_review_required,historical_negative_note,True,True,True,PMDA_CURRENT_STATUS_REQUIRED;MHLW_REEVALUATION_CONTEXT,2026-06-03,古い資料に出る。現役推奨薬扱いを避ける。,エンボール等,旧・脳代謝/意識認知関連
tocopherol_nicotinate,トコフェロールニコチン酸エステル,tocopherol nicotinate,tocopherol nicotinate,ユベラN|tocopherol nicotinate,末梢循環改善薬・ビタミンE誘導体,peripheral_circulation_do_not_confuse,B,do_not_confuse_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/peripheral_circulation_do_not_confuse/tocopherol_nicotinate.md,False,unresolved_manual_review_required,do_not_confuse_note,True,True,True,PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,循環改善という語で脳循環改善薬と混同しやすい。,ユベラN等,末梢循環障害等。脳梗塞後遺症薬として安易に提示しない。
inositol_hexanicotinate,イノシトールヘキサニコチネート,inositol hexanicotinate,inositol hexanicotinate,ヘキサニシット|inositol nicotinate,末梢循環改善薬,peripheral_circulation_do_not_confuse,B,do_not_confuse_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/peripheral_circulation_do_not_confuse/inositol_hexanicotinate.md,False,unresolved_manual_review_required,do_not_confuse_note,True,True,True,PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,脳循環改善薬と混ぜるとRAG誤回答になりやすい。,ヘキサニシット等,末梢循環関連。脳外中核薬ではない。
hepronicate,ヘプロニカート,hepronicate,hepronicate,メグリン|hepronicate,末梢循環改善薬,peripheral_circulation_do_not_confuse,B,do_not_confuse_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/peripheral_circulation_do_not_confuse/hepronicate.md,False,unresolved_manual_review_required,do_not_confuse_note,True,True,True,PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,末梢循環改善薬を脳梗塞後遺症薬として出す誤りを防ぐ。,メグリン等,末梢循環関連。脳外中核薬ではない。
limaprost_alfadex,リマプロスト アルファデクス,limaprost alfadex,limaprost alfadex,オパルモン|プロレナール|limaprost,PGE1誘導体・末梢循環改善薬,peripheral_circulation_do_not_confuse,B,do_not_confuse_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/peripheral_circulation_do_not_confuse/limaprost_alfadex.md,False,unresolved_manual_review_required,do_not_confuse_note,True,True,True,PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,脳神経外科外来で脊柱管狭窄症文脈に出るが、脳梗塞後遺症薬ではない。,オパルモン等,閉塞性血栓血管炎/腰部脊柱管狭窄症等。脳外脳循環改善薬として扱わない。
alprostadil,アルプロスタジル,alprostadil,alprostadil,PGE1|リプル|パルクス,PGE1製剤・末梢循環/血管拡張薬,peripheral_circulation_do_not_confuse,B,do_not_confuse_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/peripheral_circulation_do_not_confuse/alprostadil.md,False,unresolved_manual_review_required,do_not_confuse_note,True,True,True,PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,血管拡張/循環改善から脳循環改善薬に誤拡張しないため。,リプル、パルクス等,末梢循環障害等。脳外中核薬ではない。
alprostadil_alfadex,アルプロスタジル アルファデクス,alprostadil alfadex,alprostadil alfadex,プロスタンディン|PGE1-CD,PGE1製剤・末梢循環/血管拡張薬,peripheral_circulation_do_not_confuse,B,do_not_confuse_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/peripheral_circulation_do_not_confuse/alprostadil_alfadex.md,False,unresolved_manual_review_required,do_not_confuse_note,True,True,True,PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,アルプロスタジル製剤群の文脈整理。脳梗塞後遺症治療として雑に提示しない。,プロスタンディン等,末梢循環障害等。脳外中核薬ではない。
bosentan_do_not_confuse,ボセンタン（クラゾセンタン取り違え防止）,bosentan do-not-confuse note,bosentan,トラクリア|Bosentan|エンドセリン受容体拮抗薬,エンドセリン受容体拮抗薬・取り違え防止note,sah_vasospasm_do_not_confuse,A,do_not_confuse_note_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/peripheral_circulation_do_not_confuse/bosentan_do_not_confuse.md,False,unresolved_manual_review_required,do_not_confuse_note,True,True,True,PMDA_BOSENTAN_CURRENT_LABEL_REQUIRED;PMDA_CLAZOSENTAN_LABEL,2026-06-03,ボセンタンとクラゾセンタンの取り違え防止。脳外RAGではボセンタンをSAH術後血管攣縮薬として出してはいけない。,トラクリア等,肺動脈性肺高血圧症等。SAH術後脳血管攣縮薬として扱わない。
